simtime,current_action,reward,load,FM_state,packets_per_frame,QoE,frame_loss,last_mowdg,RTT,lastthreshold,quadraticsum_mowdg
21.9228,1,3.87494,1.4971e+07,3,15,4.07099,0,-0.000158111,0.00170863,3.00797e-05,1.49153e-06
22.0228,1,3.87472,1.4971e+07,3,15,4.07076,0,-0.000223111,0.00177629,3.02015e-05,1.57501e-06
22.1228,1,3.87846,1.4971e+07,3,15,4.0747,0,-8.4111e-05,0.00176522,3.02181e-05,1.11607e-07
22.2228,1,3.87762,1.4971e+07,3,15,4.07381,0,0.000303889,0.00157704,3.02873e-05,4.42985e-07
22.3228,1,3.878,1.4971e+07,3,15,4.07421,0,0.000205889,0.00161503,3.03492e-05,2.92513e-07
22.4228,1,3.87859,1.4971e+07,3,15,4.07483,0,7.68889e-05,0.00137784,3.03702e-05,6.13408e-08
22.5228,0,3.87613,1.46716e+07,3,15,4.07224,0,0.000813889,0.00162076,3.04545e-05,1.0252e-06
22.6228,0,3.87564,1.43782e+07,3,14,4.07173,0,-4.51112e-05,0.00218456,3.06178e-05,1.21463e-06
22.7228,0,3.86772,1.40906e+07,3,14,4.06339,0,8.48887e-05,0.00153404,3.07892e-05,4.32098e-06
22.8228,0,3.8772,1.38088e+07,3,14,4.07337,0,0.000263889,0.00162061,3.08641e-05,6.04859e-07
